date	new_cases
2020-01-21	1
2020-01-22	0
2020-01-23	0
2020-01-24	1
2020-01-25	1
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	2
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	1
2020-02-04	0
2020-02-05	0
2020-02-06	1
2020-02-07	0
2020-02-08	0
2020-02-09	0
2020-02-10	0
2020-02-11	0
2020-02-12	0
2020-02-13	0
2020-02-14	1
2020-02-15	1
2020-02-16	0
2020-02-17	0
2020-02-18	1
2020-02-19	0
2020-02-20	0
2020-02-21	1
2020-02-22	3
2020-02-23	1
2020-02-24	5
2020-02-25	8
2020-02-26	10
2020-02-27	15
2020-02-28	14
2020-02-29	15
2020-03-01	22
2020-03-02	19
2020-03-03	32
2020-03-04	39
2020-03-05	38
2020-03-06	63
2020-03-07	74
2020-03-08	98
2020-03-09	125
2020-03-10	138
2020-03-11	157
2020-03-12	169
2020-03-13	243
2020-03-14	244
2020-03-15	303
2020-03-16	361
2020-03-17	483
