date	new_cases
2020-01-16	1
2020-01-17	0
2020-01-18	2
2020-01-19	2
2020-01-20	0
2020-01-21	2
2020-01-22	2
2020-01-23	2
2020-01-24	2
2020-01-25	3
2020-01-26	1
2020-01-27	1
2020-01-28	3
2020-01-29	1
2020-01-30	0
2020-01-31	0
2020-02-01	1
2020-02-02	2
2020-02-03	2
2020-02-04	0
2020-02-05	3
2020-02-06	4
2020-02-07	9
2020-02-08	7
2020-02-09	2
2020-02-10	12
2020-02-11	13
2020-02-12	17
2020-02-13	10
2020-02-14	9
2020-02-15	18
2020-02-16	18
2020-02-17	17
2020-02-18	12
2020-02-19	14
2020-02-20	10
2020-02-21	21
2020-02-22	24
2020-02-23	0
