plate_size,time
8,-0.0008284699870273471
16,-0.0009167550015263259
24,-0.0008619140135124326
32,-0.0009365380392409861
40,-0.0008939699619077146
48,-0.0009443280287086964
56,-0.0009221460204571486
64,-0.0010400169994682074
72,-0.0010620260145515203
80,-0.0012070880038663745
88,-0.0011463669943623245
96,-0.001132369041442871
104,-0.001201589999254793
112,-0.001410575001500547
120,-0.0016355490079149604
128,-0.0017876799684017897
136,-0.0019989199936389923
144,-0.0022331959917210042
152,-0.002511207014322281
160,-0.0027321429806761444
168,-0.003059498965740204
176,-0.003258068987634033
184,-0.003629116981755942
192,-0.003848294960334897
200,-0.0042625609785318375
208,-0.004528475983534008
216,-0.0049833100056275725
224,-0.005377111956477165
232,-0.005774801014922559
240,-0.006128492008429021
248,-0.00656297302339226
256,-0.006977754004765302
264,-0.007413024955894798
272,-0.007969864993356168
280,-0.008237041998654604
288,-0.008710852998774499
296,-0.009153980994597077
304,-0.009603799029719085
