plate_size,time
8,-0.001197588979266584
16,-0.0011850949958898127
24,-0.0012463159509934485
32,-0.0010531930020079017
40,-0.0010521390358917415
48,-0.001049673999659717
56,-0.0012022849987260997
64,-0.0011171730002388358
72,-0.001532427966594696
80,-0.0014139300328679383
88,-0.0014433710020966828
96,-0.0015339050441980362
104,-0.001396607025526464
112,-0.0013547400012612343
120,-0.0014885439886711538
128,-0.0017281550099141896
136,-0.0019150899606756866
144,-0.0020452350145205855
152,-0.0023858550121076405
160,-0.002678424003534019
168,-0.002911113027948886
176,-0.0031568720005452633
184,-0.0035472059971652925
192,-0.0038482570089399815
200,-0.004166572995018214
208,-0.004478195041883737
216,-0.004892816010396928
224,-0.005233456962741911
232,-0.0056143709807656705
240,-0.006034200021531433
248,-0.00639995199162513
256,-0.006879868975374848
264,-0.007406532997265458
272,-0.007845177024137229
280,-0.008326933020725846
288,-0.008840521040838212
296,-0.009399505041074008
304,-0.009912465990055352
